English,Arabic
loading,وسق: تحميل
loan,قَرض
loans ordinance,قانون القروض
local,محلي
local advertisements publication,نشرة الإعلانات المحلية
local authority,هيئة محلية
local community,مجتمع محلي: طائفة محلية
local council,مجلس محلي
local council assessment,تخمين المجلس المحلي
local councils ordinance,قانون المجالس المحلية
local education authority,سلطة تعليم محلية
lost,مفقود
lost property,لقطة: مفقودات، أموال مفقودة
magistrate,حاكم الصلح
magistrate court,محكمة الصلح
magistrates' courts jurisdiction,صلاحي ;ة محاكم الصلح
maintenance of registers,حفظ السجلات
mandated territory,بلد واقعة تحت الإنتداب
mark,علامة
marriage,زواج
marriage fees,رسوم الزواج
martial law,حكم عرف 1610;
material,مادة
matter,قضية
matter pending before a tribunal,قضية معلقة لدى محكمة
maximum,الحد الأعلى
maximum price,الحد الأعلى لسعر
mayor,رئيس بلدية
measure,تدبير
"measures, to take",يتخذ تدابير
mechanic propelled vehicles,المركبات ذات المحركات الميكانيكية
medical commission,لجنة طبية
medical organization,منظمة صحية
medical practitioner,طبيب الصحة
meeting,جلسة
member,عضو
member of the shipping tribunal,عضو محكمة الملاحة البحرية
merchandise,بضائع
merchandise marks,علامات البضائع
merchandise marks ordinance,قانون علامات البضائع
merchandise marks regulation,نظام علامات البضائع
merchant,تاجر
merchant ship,سفينة تجارية
merchant shipping act,قانون الملاحة التجارية
message,رسالة (بلاغ
military,عسكري
military authority,سلطة عسكرية
military commander,قائد عسكري
military court,محكمة عسكرية
military force,قوة عسكرية
military purposes,لمقاصد عسكرية
mining ordinance,قانون التعدين
minister for foreign affairs,وزير خارجية
mission,مهمة
modification,تعديل
modification of a rule,تعديل نظام
"modify, to",يُعدِّل
monopoly,الاحتكار
monthly return,كشف شهر 1610;
mortgage,الرهن
mortgage law ordinance,قانون الرهن
moslem awkaf,الأوقاف الإسلامية
moslem sharia council,المجلس الشرعي الإسلامي
motor vehicles insurance,تأمين المركبات الميكانيكية
motor vehicles log book,دفتر سفرات المركبات الميكانيكية
"move, to",يَنقُل
movement,تنقل
movement of goods,نقل السلع
movement restrictions,تقييد النقل
mukhtar,مختار
municipal area,منطقة بلدية
municipal assessment,تخمين البلدية
municipal auditor,مراقب حسابات الهيئات البلدية
municipal commission,لجنة بلدية
municipal corporation,هيئة بلدية
municipal corporations ordinance,قانون البلديات
municipal council,مجلس بلدي
municipal councils ordinance,قانون المجالس البلدية
municipal courts jurisdictio,صلاحية محاكم البلديات
municipal courts ordinance,قانون محاكم البلديات
municipal fees,رسوم البلدية
municipal franchise ordinanc,قانون الإنتخابات البلدية
municipal house rate,ضريبة منازل البلدية
municipal loans,قروض بلدية
municipal rate,ضريبة البلدية
municipal rates ordinance,قانون رسوم البلديات
municipal tax,رسوم البلدية
municipal tax law ordinance,قانون رسوم البلديات
municipal tribunal,محكمة بلدية
municipality,بَلديَّة
musaqqafat tax,ضريبة المُسَقَّفات: ضريبة العَقار
name - plate,لوحة أسماء
national,رعيّة
nationals,رعايا
naturalization,التجنس
naturalization of alien wome,تجنس النساء الأجنبيات
"naturalize, to",يَتَجنَّس: يكتسب الجنسية
naval,بحري
naval prize,غنائم بحرية
naval prize act,قانون الغنائم البحرية
navigable,صالح للملاحة
navigable waters,مياه الملاحة
navigation,مِلاحة
negotiable,قابل للتحويل: قابل للتفاوض
nomination,ترشيح
northern district,لواء شمالي
notary public,كاتب عَدل
note,مذكرة
notification,تبليغ
notification of accidents,تبليغ الحوادث
notification of address,تبليغ العنوان
"notify, to",يُبْلِغ
nuisance,ضرر
oath,يمين: قَسَم
oaths ordinance,قانون تحليف الأَيمان
obscene,مخل بالآداب
obscene publications,مطبوعات مخلة بالآداب
obscene publications traffic,تجارة المطبوعات المخلة بالآداب
observation,مراعاة
observation of conditions,مراعا ;ة الشروط
"obstruct, to",يَعوق
obstruction,عائق
occupation,مهنة
occupational,مهني
occupational disease,مرض يتعلق بالمهنة
"occupy, to",يَحتَلّ
offence,جريمة
"offend, to",يرتكب جرماً
offender,مُجرِم
officer,مأمور
official,رسمي
official secret,سِرّ رسمي
offloading,تفريغ
on,منع العوائق
open,مطلق
open general licence,رخصة عمومية مطلقة
open general permission,تصريح مطلق عام
open licence,رخصة مطلقة
Operation,عملية
"operation, to bring into",يضع موض 1593; العمل
order,مرسوم
order in council,مرسوم ملكي
ordinance,قانون
"Organize, to",يُنَظ ;ِّم
orphan,يَتيم
orphans' pensions,تقاعد الأيتام
Orthodox Patriarchate Ordinance,قانون البطريركية الأرثوذكسية
Ottoman Law,تشريعات عثمانية
Ottoman service,الخدمة في الحكومة العثمانية
Palestine Advisory Council,المجلس الإستشاري الفلسطيني
Palestine Gazette,الوقائع الفلسطينية
parties,الفرقاء، الأطراف
partnership,شركة عادية، شراكة
partnership ordinance,قانون الشركات العادية
party,جهة
passive,سلبي
passive defence,دفاع سلبي
passive defence service,مصلحة الدفاع السلبي
passport ordinance,قانون جوازات السفر
passport regulations,نظام جوازات السفر
patent and designs office,مكتب إمتيازات الإختراعات والرسوم
patents and designs ordinanc,قانون إمتيازات الإختراعات والرسوم
patents and designs rules,نظام امتيازات الإختراعات والرسوم
pay,علاوة
"pay, income",راتب
payment,دفع
payment of annuities,دفع الأقساط السنوية
payment of duty,دفع رسم جمركي
payment of rates,دفع الضرائب
payments,دفعات
penal,عقابي
penal labour,الأشغال الشاقة
penal labour ordinance,قانون الأشغال الشاقة
pending,معلَّق: موقوف
pension,معاش التقاعد
pensionable office,وظيفة تقاعدية
pensions ordinance,قانون التقاعد
percentage,النسبة المئوية
percentage addition,النسبة المئوية للزيادة
"perform, to",ينجز
perjury,شهادة الزُّور
perjury ordinance,قانون شهادة الزور
permit,رخصة
permit fees,رسوم رخصة
"permit, to",يجيز
personal injuries ordinance,قانون الأضرار الشخصية
personal injury,ضَرر شخصي
personal status,الأحوال الشخصية
petition,عَريضة
petition writer,كاتب العرائض
pharmacists ordinance,قانون الصيادلة
place of inspection,مكان المعاينة
planning commission,لجنة تنظيم
plant inspector,مفتش النبات
plant protection ordinance,قانون وقاية النبات
playing cards excise,مكوس ورق اللعب
playing cards excise ordinance,قانون مكوس ورق اللعب
ploughing loan,قرض حراثة
point: (crossing) point,معبر
police,بوليس، شرطة
police and prisons separatio,فصل البوليس عن السجون
police declaration form,نموذج تصريح البوليس
police force,قوة البوليس
police form of declaration,نموذج تصريح البوليس
police fund,صندوق البوليس
police inspector,مفتش شرطة
police ordinance,قانون البوليس
police proficienct pay,علاوة الكفاءة للبوليس
police rules,نظام البوليس
poor prisoners' defence,الدفاع عن السجناء الفقراء
port,مَرفئ
ports ordinance,قانون المرافئ
"posession of, take",يستولي على
possession,وَضْعُ اليَد
possession of land,وضع الي 1583; على الأراضي
post office ordinance,قانون دائرة البريد
power,سلطة
practitioner,مزاول مهنة
precaution,وقاية
"prescribe, to",يقرّر
prescribed,معين
prescribtion of forms,تعيين النماذج
presentation,تقديم
presentation of motor vehicl,تقديم المركبات الميكانيكية للمعاينة
"preserve, to",يصون
president,رئيس
president of a local council,رئيس مجلس محلي
president of a tribunal,رئيس محكمة
press,مطبوعات، صحافة
press ordinance,قانون المطبوعات قانون الصحافة
prevention,منع، حظر
prevention of crime,منع الجريمة
prevention of crime ordinanc,قانون منع الجرائم
prevention of cruelty,رِفق
prevention of cruelty to animals,الرفق بالحيوانات
prevention of encampment,منع التخييم
prevention of intimidation,منع الإرهاب
prevention of noises,منع الضوضاء
prevention of nuisances,منع المكاره الصحية
prevention of profiteering,منع الإستغلال
price control,مراقبة الأسعار
prime minister,رئيس الوزراء
printed matter,مطبوعات
prisoner,سَجين
prisoners removal act,قانون نقل السجناء
prisons ordinance,قانون السجون
private,خُصوصي
private railways ordinance,قانون السكك الحديدية الخصوصية
privelege,امتياز
privy council,مجلس خاص
prize,غنيمة حربية
prize court,محكمة الغنائم الحربية
prize salvage act,قانون إنقاذ الغنائم الحربية
probate,تصديق الوصيّة
probation,مُراقبة
probation of offenders,وضع المجرمين تحت المراقبة
probation of offenders ordinance,قانون وضع المجرمين تحت المراقبة
proceeding,محضر إجتماع
process,عملية
procession,موكب
proclamation,منشور
"procure, to",يحصل عل 1609;
procuring,حصول عل 1609;
procuring samples,الحصول على عينات
profession,مهنة
professional conduct,السلوك في المهنة
proficiency,كفاءة
proficiency pay,علاوة الكفاءة
Profiteering,استغلالية: تحقيق أرباح فاحشة
"prohibit, to",يحظر
prohibition,حظر
prohibition of buying,حظر الشراء
prohibition of cultivation,منع الزراعة
prohibition of dealing in arms,حظر الإتجار بالأسلحة
prohibition of importation,حظر الإستيراد
prohibition of manufacture,حظر الصنع
prohibition of movement,حظر النقل
prohibition of sale,حظر البيع
prohibition of smoking,منع التدخين
prohibition of widening of roads,حظر توسيع الطرق
"prolong, to",يمدّد
prolongation,تمديد
"propel, to",يُسَيِّر
property,ملك، ممتلكات
property tax,ضريبة الأملاك
prospecting,تنقيب
protected area,منطقة ; محمية
protection of trade marks,حماية العلامات التجارية
protectorate,محمية
protest,بروتستو: إحتجاج
protest of bills ordinance,قانون الاحتجاج على الحوالات
protocol,بروتوكول
provident fund,صندوق إحتياطي دعم احتياطي
provisional,مؤقت
"provisions, to make",يَنص
public,عام
public bathing places ordinance,قانون أماكن الاستحمام العامة
public custodian,حارس عا 1605;
public custodian ordinance,قانون الحارس العام
public entertainments ordinance,قانون الملاهي العمومية
public health,الصحة العامة
public health ordinance,قانون الصحة العامة
public health rules,نظام الصحة العامة
public holiday,عطلة عمومية
public lands ordinance,قانون الأراضي العمومية
Public meeting,اجتماع عام
public meetings ordinance,قانون الإجتماعات العمومية
public officer,موظف حكومي
public officers ordinance,قانون الموظفين العموميين
public place,مكان عام
"public purposes, for",للمقاصد العامة
public road,طريق عمومي
public service,الخدمة العامة
public service ordinance,قانون الخدمة العامة
public street,شارع عمومي
public trustee,متولي عام
public water,مياة عمومية
public water supplies,مشاريع المياه العمومية
public works,الأشغال العامة
publication,نَشْر
publication permit,رخصة نَشْر
publications ordinance,قانون المطبوعات
"publish, to",يَنشُر
publishing,نشر
"punish, to",يُعاقِب
punishment,عقوبة
punishment of offender,معاقبة المجرم
purpose,غاية
pursuit,تعقّب
pursuit of fugitive offender,تعقّب المجرمين الفارّين
pursuit of offenders,تعقّب المجرمين
put into force,يضع موض 1593; التنفيذ
quarantine,حجر صحي
quarantine ordinance,قانون الحجر الصحي
quarterly,فصلي
quarterly return,كشف فصل 1610;
rabbinical council,المجلس الرباني
rabbinical council validatio,تقنين المجلس الربّاني
rabies ordinance,قانون داء الكلب
radio-active minerals ordinance,قانون المواد المعدنية المشعة
railway board,مجلس السكك الحديدية
railway fares,رسوم السفر عبر سكة الحديد
railway lands vesting,تخويل ح 1602; إمتلاك الأراضي لسكك الحديد
railway rates,رسوم السفر عبر سكة الحديد
railways ordinance,قانون سكك الحديد
rank,رتبة (عسكرية
rate,فئة
rate of tax,فئة الضريبة
rate validation,تثبيت صحة الضريبة
rateable,خاضع للضريبة
rateable value of buildings,بدل إيجار الأبنية الخاضع للضريبة
rates,عوائد
real estate,عقار
rebate,حسم
rebate of excise,حسم المكوس
reciprocal,متبادل
reciprocal enforcement,تنفيذ متبادل
reconstruction loans ordinance,قانون إصدار القروض لتعمير الأبنية
recovery,استيفاء
recovery of interest,استيف ;اء الفائدة
Refund,استرداد
Refund of fees,استرداد رسوم
"refund, to",يَستَرِدّ
regarding,بشأن
regional area,منطقة إقليمية
regional council,مجلس إقليمي
regional planning area,منطقة تنظيم إقليمية
register,سجل
registrar,مسجِّل
registrar of companies,مسجل الشركات
registrar of patents and designs,مسجل إمتيازات الإختراعات والرسوم
registrar of trade marks,مسجل العلامات التجارية
registrars ordinance,قانون المسجلين
registration,تسجيل
registration fee,رسم التسجيل
registration of a business name,تسجيل إسم تجاري
registration of a company,تسجيل شركة
registration of divorce,تسجيل الطلاق
registration of marriage,تسجيل الزواج
registration of subjects,تسجيل الرعايا
"regulate, to",ينظّم
regulation,تنظيم
regulation and restrictions,التنظيم والقيود
regulation of exports,تنظيم الصادرات
regulation of imports,تنظيم الواردات
regulation of payments,تنظيم الدفعات
regulation(s),نظام
"relating to, regarding",بشأن، يتعلق ب
relation,علاقة
release on bail ordinance,قانون الإفراج بالكفالة
"Release, to",يُفرِ ;ج
religious communities ordinance,قانون الطوائف الدينية
religious community,طائفة دينية
religious court,محكمة دينية
removal,نقل
removal of prisoners,نقل السجناء
rent,الإيجار
rent restrictions,تقييد الإيجارات
rent restrictions ordinance,قانون تقييد الإيجارات
"rent, to",يُؤجِّر
rents ordinance,قانون الإيجارات
rents tribunal,محكمة إيجارات
repair,يصلح
"represent, to",ينوب عن
reprisal,المقابلة بالمثل، المعاملة بالمثل
request,تكليف
Reserve,احتياطي
reserved,محفوظ
reserves,غابات محمية
respecting,بشأن
responsibility,مسؤولية
"restrict, to",يقيّد
restriction,فرض قيو 1583;
restriction of manufacture,تقييد الصنع
restriction of movement,تقييد النقل
restriction of movement of goods,تقييد نقل السلع
restrictions,قيود
restrictions on flying,تقييد الطيران
restrictions on use,تقييد الإستعمال
retail dealing limitation,تقييد البيع بالمفرق
return,كشف
return of injuries,كشف عن الإصابات
revised,منقَّح
revised edition,طبعة منقحة
right,حق
right of a government,حق الحكومة
right of nationals,حق الرعايا
right of way,حق المرور
rights,حقوق
risk,خطر
road transport ordinance,قانون النقل على الطرق
roads ordinance,قانون الطرق
Rome Convention,معاهد ;ة روما
route,طريق (مسلك
royal,ملكي
royal court,بلاط ملكي، محكمة ملكية
royal instructions (M),تعليمات ملكية
royal warrant,براءة ملكية
"rule, to set a",يضع نظا 1605;
rules,نظام
rules as to food,تنظيم الأطعمة
rules of court,لائحة أصول المحاكمات
rural area,منطقة قروية
rural council,مجلس قروي
rural district,منطقة قروية
rural property tax,ضريبة الأملاك في القرى
rural property tax ordinance,قانون ضريبة الأملاك في القرى
safeguarding,وقاية
safeguarding of water supplies,وقاية مشاريع المياه
sailing boats ordinance,قانون المراكب الشراعية
sale on credit,البيع بالدَّين
sales restriction,تقييد البيع
sanction,موافقة
sand drift ordinance,قانون كثبان الرمال
sanjak: province,سنجق: مقاطعة
savings bank,صندوق التوفير
schedule,جدول
schedule to an ordinance,ذيل قانون
scheduled,مُدرج
scheduled goods,بضائع مدرجة بالذيل
scheme,مشروع
schools registration ordinance,قانون تسجيل المدارس
search,التحري
secret,سرّ
section,فقرة
"secure, to",يضمن
securities,سندات مالية
Securities exemption,استثناء سندات الدين
securities restriction,القيود المفروضة على السندات المالية
security,ضمان
security of loans,تأمين القروض
seditious offence,جريمة الفساد
separate area,منطقة منفصلة
service,تبليغ
service of documents,تبليغ الوثائق
service out of jurisdiction,تبليغ الوثائق القضائية
"settle, to",يُسوّي
settlement,تسوية
settlement area,منطقة تسوية
settlement of land title,تسوية الأراضي
settlement of title,تسوية حقوق الملكية
settlement of title fees,رسوم تسوية حقوق الملكية
sewerage and drainage ordinance,قانون المجاري والمصارف
sharia council,المجلس الشرعي
sharia court,محكمة شرعية
sharia courts ordinance,قانون المحاكم الشرعية
sharia courts pensions ordinance,قانون التقاعد لموظفي المحاكم الشرعية
shepherds ordinance,قانون الرعاة
shipping,شحن
shipping traffic,حركة الملاحة
shipping tribunal,محكمة الملاحة البحرية
ships and aircraft ordinance,قانون السفن والطائرات
short term,قصير الأجل: قصير الأمد
short term loan,قَرْض قصير الأجل
site,موقع
situated,واقع
social security,الضمان الإجتماعي
social security commission,لجنة الضمان الإجتماعي
social welfare,الخدمة الإجتماعية
social welfare charges,رسوم الخدمة الإجتماعية
source,مَصْدَر
southern district,اللواء الجنوبي
special,خاص
special permit,تصريح خاص
specific,معين
specified,محدد
spirits,كحول: مشروبات روحية
springs ordinance,قانون الينابيع
stamp,دمغة
stamp duty,رسم طاب 1593; الإيرادات
stamp duty ordinance,قانون رسوم طوابع الإيرادات (الدمغة
"stamp, to",يَدمَغ
standard,موحد
standing,قائم
state,حكومة
State domain rent,اجارة الأراضي الأميرية
state fees,الرسوم الأميرية
state of war,حالة حر 1576;
state rates,الضرائب الأميرية
stated,مذكور
statistics ordinance,قانون الإحصاءات
statute law,تشريعات أساسية
statute law revision ordinance,قانون تنقيح التشريعات الأساسية
steam boilers ordinance,قانون المراجل البخارية
sub - district,قضاء
subject,رعيَّة
"Submit, to",يُقدّ ;ِم
submitting samples,تقديم عينات
"substitute, to",يُبدِل
succession ordinance,قانون الميراث
successor,خلف: وريث
summary offence,جريمة جزائية
summary trial,محاكمة جزائية
supplement,ملحق
supplement of gazette,ملحق الجريدة الرسمية
"Supplement, to",يُلحِق: يضيف إلى
supplementary grant,هبة إضافية
supplies,تموين
supply,توريد
supply of electricity,توريد الكهرباء
"supply, to",يورِّد
suppression,منع
supreme council,مجلس أعلى
supreme moslem council,المجل س الإسلامي الأعلى
supreme moslem sharia council,المجلس الشرعي الإسلامي الأعلى
surrender,تسليم
surrender of criminal,تسليم مجرم
survey,تحقيق: فحص
survey ordinance,قانون المساحة
"survey, to",يفحص
system of election,طريقة إنتخاب
taking of photographs ordinance,قانون الصور الشمسية
tax,ضريبة
tax on income,ضريبة الدخل
tax validation,تثبيت صحة ضريبة
taxation,الضرائب
taxation relief,الإعفاء من الضريبة
taxes,عوائد
taxes ordinance,قانون الضرائب
temporary,مؤقت
temporary admission,قبول مؤقت: سماح مؤقت
temporary constitution,تشكيل مؤقت
temporary increase,زيادة مؤقتة
tenant,مستأجِر
"Terminate, to",يُنهي
territory,قطر
through,متواصل
time,وقت
time determination ordinance,قانون التوقيت
tithe assesment,تخمين الأعشار
tithe law ordinance,قانون ضريبة العشر
tithes,ضريبة العشر
Tithes commutation,استبدال الأعشار
tithes commutation ordinance,قانون استبدال الأعشار
tithes ordinance,قانون الأعشار
title,لقب
tobacco ordinance,قانون التبغ
town,مدينة
town planning,تنظيم المدن
town planning commission,لجنة تنظيم المدن
town planning ordinance,قانون تنظيم المدن
town planning permit,رخصة تنظيم المدن
township,بلدة
trade dispute,نزاع تجاري
trade mark,علامة تجارية
trade marks ordinance,قانون العلامات التجارية
trade marks rules,نظام العلامات التجارية
trade pay,علاوة التخصص
"trade, commerce",تجارة
trades and industries ordinance,قانون الحرف والصناعات
trading with the enemy ordinance,قانون الإتجار مع العدو
traffic,حركة المرور
trans,بادئة معناها عِبر
transfer,نقل
transfer fees,رسوم إنتقال
transfer restrictions,تقييد الإنتقال
"transfer, to",ينقل
transit,1605;رور عابر
transit of goods,مرور بضائع بالترانزيت
transitional,انتقالي
transitional (stage),دور الإنتقال
transitional powers,صلاحيات الانتقال
transmission,نقل: إرسال
transmission of articles,نقل المواد
"transmit, to",يَنقُل
transmittable,قابل للإرسال
transport,نقل
transport of passengers,نقل الركاب
treasury bills,سندات الخزينة
treaty,معاهدة
treaty of commerce,معاهدة التجارة
treaty of peace,معاهدة صلح
treaty of peace ordinance,قانون معاهدة الصلح
trial,محاكمة
trial upon information,محاكمة إتهامية
tribal court,محكمة عشائر
tribe,عَشيرة
tribunal,محكمة: مجلس قضائي
trustee,متولي: وصِيّ
under,بمقتضى
"Unify, to",يُوَح ;ِّد
United Nations (U.N,الأمم المتحدة
unleavened bread ordinance,قانون الرسوم على الخبز الفطير
unwholesome food ordinance,قانون المأكولات غير الصحية
urban area,منطقة مدنية
urban property tax,ضريبة الأملاك في المدن
urban property tax ordinance,قانون ضريبة الأملاك في المدن
usurious,ربوي: خاص بالربا
usurious loan,قَرض بفائدة ربوية
usurious loans ordinance,قانون الربا الفاحش
utility goods,بضائع موحدة
validation,تقنين
validation of appointments,تقنين التعيينات
validation of customs agreement,تقنين الإتفاق الجمركي
validation of judgements,تثبيت صحة الأحكام
validation of jurisdiction,تثبيت صلاحية
validation of loan guarantee,تثبيت ضمان قرض
validation of municipal rate,تقنين الضرائب والعوائد البلدية
validation of municipal tax law,تقنين قانون رسوم البلديات
validation of order,تقنين المرسوم
validation of tax,تثبيت الضريبة
valuer,مُثمِّن
variation,تعديل
variation of an area,تغيير ح 1583;ود منطقة
variation of schedule,تعديل الذيل
vehicle licensing fees,رسوم رخ 1589; المركبات
vehicles registration,تسجيل المركبات
vehicles registration ordinance,قانون تسجيل المركبات
"Vest, to",يُفوّ ;ِض
vesting ordinance,قانون تخويل
vesting property,تفويض الملكية
veterinary surgeons ordinanc,قانون الجراحة البيطرية
village administration ordinance,قانون إدارة القرى
village committee,لجنة القرية
village council,مجلس قروي
village works,منشآت داخل حدود القرى
visa fees,رسوم التأشير بالإعتماد (الفيزا
volunteer force ordinance,قانون المتطوعين
"waive, to",يتنازل
waqf - pl. awkaf,وقف- ج أوقاف
war loan ordinance,قانون قرض الحرب
war revenue ordinance,قانون إيرادات الحرب
war risks insurance,التأمين ضد أخطار الحرب
war risks insurance board,مجلس التأمين ضد أخطار الحرب
war risks insurance ordinanc,قانون التأمين ضد أخطار الحرب
water survey ordinance,قانون فحص المياه
weights and measures ordinance,قانون الأوزان والمقاييس والمكاييل
werko tax,ضريبة الويركو
werko tax validation ordinance,قانون تثبيت صحة ضريبة الويركو
wholesalers' returns,كشوف تجار الجملة
widows' pensions,تقاعد الأرامل
winding up,تصفية
winding up jurisdiction,صلاحية تصفية
wireless telegraphy ordinanc,قانون التلغراف اللاسلكي
witness,شاهد
workman,عامِل
workmen's compensation,تعويض العمال
workmen's compensation ordinance,قانون تعويض العمال
worn,تالف
wreck(age),حطام السفن الغارقة
wrecked goods,بضاعة تالفة
writer,كاتب
zone,منطقة
